Country,City,State,Region
United States,Henderson,Kentucky,South
United States,Los Angeles,California,West
United States,Fort Lauderdale,Florida,South
United States,Concord,North Carolina,South
United States,Seattle,Washington,West
United States,Fort Worth,Texas,Central
United States,Madison,Wisconsin,Central
United States,West Jordan,Utah,West
United States,San Francisco,California,West
United States,Fremont,Nebraska,Central
United States,Philadelphia,Pennsylvania,East
United States,Orem,Utah,West
United States,Houston,Texas,Central
United States,Richardson,Texas,Central
United States,Naperville,Illinois,Central
United States,Melbourne,Florida,South
United States,Eagan,Minnesota,Central
United States,Westland,Michigan,Central
United States,Dover,Delaware,East
United States,New Albany,Indiana,Central
United States,New York City,New York,East
United States,Troy,New York,East
United States,Chicago,Illinois,Central
United States,Gilbert,Arizona,West
United States,Springfield,Virginia,South
United States,Jackson,Michigan,Central
United States,Memphis,Tennessee,South
United States,Decatur,Alabama,South
United States,Durham,North Carolina,South
United States,Columbia,South Carolina,South
United States,Rochester,Minnesota,Central
United States,Minneapolis,Minnesota,Central
United States,Portland,Oregon,West
United States,Saint Paul,Minnesota,Central
United States,Aurora,Colorado,West
United States,Charlotte,North Carolina,South
United States,Orland Park,Illinois,Central
United States,Urbandale,Iowa,Central
United States,Columbus,Ohio,East
United States,Bristol,Tennessee,South
United States,Wilmington,Delaware,East
United States,Bloomington,Illinois,Central
United States,Phoenix,Arizona,West
United States,Roseville,California,West
United States,Independence,Missouri,Central
United States,Pasadena,California,West
United States,Newark,Ohio,East
United States,Franklin,Wisconsin,Central
United States,Scottsdale,Arizona,West
United States,San Jose,California,West
United States,Edmond,Oklahoma,Central
United States,Carlsbad,New Mexico,West
United States,San Antonio,Texas,Central
United States,Monroe,Louisiana,South
United States,Fairfield,Connecticut,East
United States,Grand Prairie,Texas,Central
United States,Redlands,California,West
United States,Hamilton,Ohio,East
United States,Westfield,New Jersey,East
United States,Akron,Ohio,East
United States,Denver,Colorado,West
United States,Dallas,Texas,Central
United States,Whittier,California,West
United States,Saginaw,Michigan,Central
United States,Medina,Ohio,East
United States,Dublin,Ohio,East
United States,Detroit,Michigan,Central
United States,Tampa,Florida,South
United States,Santa Clara,California,West
United States,Lakeville,Minnesota,Central
United States,San Diego,California,West
United States,Brentwood,California,West
United States,Chapel Hill,North Carolina,South
United States,Morristown,New Jersey,East
United States,Cincinnati,Ohio,East
United States,Inglewood,California,West
United States,Tamarac,Florida,South
United States,Colorado Springs,Colorado,West
United States,Belleville,New Jersey,East
United States,Taylor,Michigan,Central
United States,Lakewood,New Jersey,East
United States,Arlington,Virginia,South
United States,Arvada,Colorado,West
United States,Hackensack,New Jersey,East
United States,Saint Petersburg,Florida,South
United States,Long Beach,California,West
United States,Hesperia,California,West
United States,Murfreesboro,Tennessee,South
United States,Layton,Utah,West
United States,Austin,Texas,Central
United States,Lowell,Massachusetts,East
United States,Manchester,Connecticut,East
United States,Harlingen,Texas,Central
United States,Tucson,Arizona,West
United States,Quincy,Illinois,Central
United States,Pembroke Pines,Florida,South
United States,Des Moines,Washington,West
United States,Peoria,Illinois,Central
United States,Las Vegas,Nevada,West
United States,Warwick,Rhode Island,East
United States,Miami,Florida,South
United States,Huntington Beach,California,West
United States,Richmond,Kentucky,South
United States,Louisville,Colorado,West
United States,Lawrence,Massachusetts,East
United States,Canton,Michigan,Central
United States,New Rochelle,New York,East
United States,Gastonia,North Carolina,South
United States,Jacksonville,Florida,South
United States,Auburn,New York,East
United States,Norman,Oklahoma,Central
United States,Park Ridge,Illinois,Central
United States,Amarillo,Texas,Central
United States,Lindenhurst,New York,East
United States,Huntsville,Texas,Central
United States,Fayetteville,Arkansas,South
United States,Costa Mesa,California,West
United States,Parker,Colorado,West
United States,Atlanta,Georgia,South
United States,Gladstone,Missouri,Central
United States,Great Falls,Montana,West
United States,Lakeland,Florida,South
United States,Montgomery,Alabama,South
United States,Mesa,Arizona,West
United States,Green Bay,Wisconsin,Central
United States,Anaheim,California,West
United States,Marysville,Washington,West
United States,Salem,Oregon,West
United States,Laredo,Texas,Central
United States,Grove City,Ohio,East
United States,Dearborn,Michigan,Central
United States,Warner Robins,Georgia,South
United States,Vallejo,California,West
United States,Mission Viejo,California,West
United States,Rochester Hills,Michigan,Central
United States,Plainfield,New Jersey,East
United States,Sierra Vista,Arizona,West
United States,Vancouver,Washington,West
United States,Cleveland,Ohio,East
United States,Tyler,Texas,Central
United States,Burlington,North Carolina,South
United States,Waynesboro,Virginia,South
United States,Chester,Pennsylvania,East
United States,Cary,North Carolina,South
United States,Palm Coast,Florida,South
United States,Mount Vernon,New York,East
United States,Hialeah,Florida,South
United States,Oceanside,New York,East
United States,Evanston,Illinois,Central
United States,Trenton,Michigan,Central
United States,Cottage Grove,Minnesota,Central
United States,Bossier City,Louisiana,South
United States,Lancaster,California,West
United States,Asheville,North Carolina,South
United States,Lake Elsinore,California,West
United States,Omaha,Nebraska,Central
United States,Edmonds,Washington,West
United States,Santa Ana,California,West
United States,Milwaukee,Wisconsin,Central
United States,Florence,Kentucky,South
United States,Lorain,Ohio,East
United States,Linden,New Jersey,East
United States,Salinas,California,West
United States,New Brunswick,New Jersey,East
United States,Garland,Texas,Central
United States,Norwich,Connecticut,East
United States,Alexandria,Virginia,South
United States,Toledo,Ohio,East
United States,Farmington,New Mexico,West
United States,Riverside,California,West
United States,Torrance,California,West
United States,Round Rock,Texas,Central
United States,Boca Raton,Florida,South
United States,Virginia Beach,Virginia,South
United States,Murrieta,California,West
United States,Olympia,Washington,West
United States,Washington,District of Columbia,East
United States,Jefferson City,Missouri,Central
United States,Saint Peters,Missouri,Central
United States,Rockford,Illinois,Central
United States,Brownsville,Texas,Central
United States,Yonkers,New York,East
United States,Oakland,California,West
United States,Clinton,Maryland,East
United States,Encinitas,California,West
United States,Roswell,Georgia,South
United States,Jonesboro,Arkansas,South
United States,Antioch,California,West
United States,Homestead,Florida,South
United States,La Porte,Indiana,Central
United States,Lansing,Michigan,Central
United States,Cuyahoga Falls,Ohio,East
United States,Reno,Nevada,West
United States,Harrisonburg,Virginia,South
United States,Escondido,California,West
United States,Royal Oak,Michigan,Central
United States,Rockville,Maryland,East
United States,Coral Springs,Florida,South
United States,Buffalo,New York,East
United States,Boynton Beach,Florida,South
United States,Gulfport,Mississippi,South
United States,Fresno,California,West
United States,Greenville,North Carolina,South
