Order ID,Order Date,Ship Date,Ship Mode,Customer ID,City,Product Name,Sales,Quantity,Discount,Profit
CA-2016-152156,08-11-2016,11-11-2016,Second Class,CG-12520,Henderson,Bush Somerset Collection Bookcase,261.96,2,0,41.9136
CA-2016-152156,08-11-2016,11-11-2016,Second Class,CG-12520,Henderson,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582
CA-2016-138688,12-06-2016,16-06-2016,Second Class,DV-13045,Los Angeles,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714
US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,Fort Lauderdale,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
US-2015-108966,11-10-2015,18-10-2015,Standard Class,SO-20335,Fort Lauderdale,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164
CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,Los Angeles,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694
CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,Los Angeles,Newell 322,7.28,4,0,1.9656
CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,Los Angeles,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152
CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,Los Angeles,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825
CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,Los Angeles,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47
CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,Los Angeles,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,Los Angeles,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568
CA-2017-114412,15-04-2017,20-04-2017,Standard Class,AA-10480,Concord,Xerox 1967,15.552,3,0.2,5.4432
CA-2016-161389,05-12-2016,10-12-2016,Standard Class,IM-15070,Seattle,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922
US-2015-118983,22-11-2015,26-11-2015,Standard Class,HP-14815,Fort Worth,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858
US-2015-118983,22-11-2015,26-11-2015,Standard Class,HP-14815,Fort Worth,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816
CA-2014-105893,11-11-2014,18-11-2014,Standard Class,PK-19075,Madison,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176
CA-2014-167164,13-05-2014,15-05-2014,Second Class,AG-10270,West Jordan,Fellowes Super Stor/Drawer,55.5,2,0,9.99
CA-2014-143336,27-08-2014,01-09-2014,Second Class,ZD-21925,San Francisco,Newell 341,8.56,2,0,2.4824
CA-2014-143336,27-08-2014,01-09-2014,Second Class,ZD-21925,San Francisco,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
CA-2014-143336,27-08-2014,01-09-2014,Second Class,ZD-21925,San Francisco,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384
CA-2016-137330,09-12-2016,13-12-2016,Standard Class,KB-16585,Fremont,Newell 318,19.46,7,0,5.0596
CA-2016-137330,09-12-2016,13-12-2016,Standard Class,KB-16585,Fremont,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884
US-2017-156909,16-07-2017,18-07-2017,Second Class,SF-20065,Philadelphia,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
CA-2015-106320,25-09-2015,30-09-2015,Standard Class,EB-13870,Orem,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649
CA-2016-121755,16-01-2016,20-01-2016,Second Class,EH-13945,Los Angeles,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224
CA-2016-121755,16-01-2016,20-01-2016,Second Class,EH-13945,Los Angeles,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741
US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,Philadelphia,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,Philadelphia,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532
US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,Philadelphia,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,Philadelphia,Poly String Tie Envelopes,3.264,2,0.2,1.1016
US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,Philadelphia,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092
US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,Philadelphia,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715
US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,Philadelphia,Lumber Crayons,15.76,2,0.2,3.546
CA-2017-107727,19-10-2017,23-10-2017,Second Class,MA-17560,Houston,Easy-staple paper,29.472,3,0.2,9.9468
CA-2016-117590,08-12-2016,10-12-2016,First Class,GH-14485,Richardson,GE 30524EE4,1097.544,7,0.2,123.4737
CA-2016-117590,08-12-2016,10-12-2016,First Class,GH-14485,Richardson,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963
CA-2015-117415,27-12-2015,31-12-2015,Standard Class,SN-20710,Houston,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415
CA-2015-117415,27-12-2015,31-12-2015,Standard Class,SN-20710,Houston,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764
CA-2015-117415,27-12-2015,31-12-2015,Standard Class,SN-20710,Houston,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147
CA-2015-117415,27-12-2015,31-12-2015,Standard Class,SN-20710,Houston,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564
CA-2017-120999,10-09-2017,15-09-2017,Standard Class,LC-16930,Naperville,Panasonic Kx-TS550,147.168,4,0.2,16.5564
CA-2016-101343,17-07-2016,22-07-2016,Standard Class,RA-19885,Los Angeles,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894
CA-2017-139619,19-09-2017,23-09-2017,Standard Class,ES-14080,Melbourne,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616
CA-2016-118255,11-03-2016,13-03-2016,First Class,ON-18715,Eagan,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714
CA-2016-118255,11-03-2016,13-03-2016,First Class,ON-18715,Eagan,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.2062
CA-2014-146703,20-10-2014,25-10-2014,Second Class,PO-18865,Westland,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784
CA-2016-169194,20-06-2016,25-06-2016,Standard Class,LH-16900,Dover,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,4.95
CA-2016-169194,20-06-2016,25-06-2016,Standard Class,LH-16900,Dover,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104
CA-2015-115742,18-04-2015,22-04-2015,Standard Class,DP-13000,New Albany,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634
